Gene ID	brain	liver	testis
ENSMUSG00000000001	11.04572751	13.5905779	33.70517243
ENSMUSG00000000049	0.066100528	5.757599736	10.61718687
ENSMUSG00000000058	0.269565553	0.681117261	2.777395997
ENSMUSG00000000088	35.05926129	187.6281615	100.1830996
ENSMUSG00000000131	0.089516906	0.159971144	2.642713443
ENSMUSG00000000148	0.156383258	0.280868486	8.272904644
ENSMUSG00000000167	0	0	1.323356815
ENSMUSG00000000168	123.6172423	8.638765945	97.57002785
ENSMUSG00000000171	3.261050196	84.58535031	13.76582324
ENSMUSG00000000184	0	0	0
ENSMUSG00000000202	3.877421524	0	0
ENSMUSG00000000214	4.138459644	0	0
ENSMUSG00000000215	0	0	0
ENSMUSG00000000253	17.26582052	0.461488387	1.215236654
ENSMUSG00000000275	0.043058135	0.83392455	1.25118078
ENSMUSG00000000276	1.752281809	0	1.007744942
ENSMUSG00000000278	0.579395626	17.17120862	10.09298971
ENSMUSG00000000295	34.61996927	2.950859818	6.354685494
ENSMUSG00000000296	0.68740978	0.162959866	3.878310761
ENSMUSG00000000301	0	112.6443214	0
ENSMUSG00000000308	529.0767228	0	0.710407304
ENSMUSG00000000320	0	0.056366246	0.145690263
ENSMUSG00000000339	2.761431878	1.233349969	44.43948708
ENSMUSG00000000340	7.694892608	60.0039282	26.84010337
ENSMUSG00000000355	56.13541146	28.57502798	11.74731164
ENSMUSG00000000359	0	0	0
ENSMUSG00000000365	0.073942007	0	1.210128501
ENSMUSG00000000384	5.084511406	1.633683025	6.022008075
ENSMUSG00000000399	19.34012452	54.51336844	47.64251448
ENSMUSG00000000409	0	0	0
ENSMUSG00000000411	0	0	0.096900932
ENSMUSG00000000420	0.088267156	0.120910308	1.247310095
ENSMUSG00000000441	0.161532606	0.033817932	0.175677276
ENSMUSG00000000486	0	0	0.057748023
ENSMUSG00000000530	0	0	0
ENSMUSG00000000555	0.574650333	5.753256041	0.170482788
ENSMUSG00000000561	18.37978989	5.460607715	118.8832542
ENSMUSG00000000563	378.8247594	395.0363417	58.12789663
ENSMUSG00000000579	5.447220961	3.925857199	59.76826107
ENSMUSG00000000594	2.972245062	21.79562269	40.98464935
ENSMUSG00000000628	8.672610982	0.167711997	41.38322913
ENSMUSG00000000673	0.085011227	378.8350088	1.7954796
ENSMUSG00000000686	0	0.187083579	0
ENSMUSG00000000711	70.07529812	16.60069349	12.09653659
ENSMUSG00000000738	1.152683449	0.507648248	4.28307788
ENSMUSG00000000740	19.71927816	232.2320712	27.31494571
ENSMUSG00000000743	2.748370576	0.910944092	3.065898689
ENSMUSG00000000751	1.190175965	0.847863272	15.22085528
ENSMUSG00000000753	0.18654641	0.188866439	4.82583706
ENSMUSG00000000759	1.341790438	0.16176697	2.367880454
ENSMUSG00000000787	5.367349686	5.71474627	21.70748938
ENSMUSG00000000805	1.414473299	0.224173545	2.307302083
ENSMUSG00000000826	670.4488797	11.73445881	16.4511286
ENSMUSG00000000827	75.266931	24.25467254	24.6802902
ENSMUSG00000000876	0.85471661	40.18306582	2.441121287
ENSMUSG00000000881	9.85799467	0	0.040768812
ENSMUSG00000000915	9.634824931	7.185897316	1.066510278
ENSMUSG00000000958	0	0.561477646	0.466180062
ENSMUSG00000000959	0	7.270177959	6.850536007
ENSMUSG00000000976	0	0.283455253	0.180181083
ENSMUSG00000001016	4.897048825	3.600404253	67.80604681
ENSMUSG00000001018	4.022364397	2.879480596	12.91427265
ENSMUSG00000001020	0.211010512	0.764230942	1.103101916
ENSMUSG00000001025	2.763968966	5.51778889	23.72484986
ENSMUSG00000001029	0.104387058	0	0.223938524
ENSMUSG00000001036	5.540247505	0	4.485677277
ENSMUSG00000001039	0	0	0.358203792
ENSMUSG00000001054	0	0	1.086482435
ENSMUSG00000001056	0.427123389	0.624539017	0.529621876
ENSMUSG00000001082	0	0	0
ENSMUSG00000001095	0	0	0
ENSMUSG00000001098	0	0	0.09853698
ENSMUSG00000001100	2.463746938	10.21805554	15.5964124
ENSMUSG00000001105	0.13363404	1.139733623	8.519678768
ENSMUSG00000001119	0	0.070160394	0.333296153
ENSMUSG00000001120	13.00351342	0	34.02892857
ENSMUSG00000001127	9.040958509	0.885141249	0.69467995
ENSMUSG00000001143	3.090689464	1.85806403	1.799796349
ENSMUSG00000001150	0.005901078	0	0.01624968
ENSMUSG00000001155	0.11500524	90.75728665	0
ENSMUSG00000001158	0	0	0
ENSMUSG00000001173	2.958713928	0.010022265	0.3680172
ENSMUSG00000001211	1.823038362	10.57916568	7.081913728
ENSMUSG00000001229	0.838789338	2.076156402	0.857809876
ENSMUSG00000001240	0	0	0
