Gene ID	brain	liver	testis
ENSMUSG00000000001	11	39	13
ENSMUSG00000000049	0.8	1734	37
ENSMUSG00000000058	7	0.9	0.6
ENSMUSG00000000088	157	127	121
ENSMUSG00000000131	6	3	21
ENSMUSG00000000148	2	0.9	2
ENSMUSG00000000167	1	0	28
ENSMUSG00000000168	22	9	16
ENSMUSG00000000171	40	77	20
ENSMUSG00000000184	6	1	0.5
ENSMUSG00000000202	6	0	0
ENSMUSG00000000214	5	0	0
ENSMUSG00000000215	0	0	0
ENSMUSG00000000253	21	0	3
ENSMUSG00000000275	1	14	1
ENSMUSG00000000276	12	0	2
ENSMUSG00000000278	8	19	10
ENSMUSG00000000295	3	0	1
ENSMUSG00000000296	35	10	20
ENSMUSG00000000301	0	54	3
ENSMUSG00000000308	166	0	0
ENSMUSG00000000320	0	0	2
ENSMUSG00000000339	16	4	30
ENSMUSG00000000340	8	32	2
ENSMUSG00000000355	28	16	2
ENSMUSG00000000359	0	0	0
ENSMUSG00000000365	0	0	50
ENSMUSG00000000384	7	7	12
ENSMUSG00000000399	80	70	64
ENSMUSG00000000409	0	0	0.7
ENSMUSG00000000411	0	0	97
ENSMUSG00000000420	11	10	5
ENSMUSG00000000441	11	11	6
ENSMUSG00000000486	0.5	0.6	0
ENSMUSG00000000530	5	0.9	0.9
ENSMUSG00000000555	0.7	4	0
ENSMUSG00000000561	8	4	5
ENSMUSG00000000563	61	66	20
ENSMUSG00000000579	4	1	4
ENSMUSG00000000594	18	51	47
ENSMUSG00000000628	0.7	0	6
ENSMUSG00000000673	0	208	0
ENSMUSG00000000686	0	2	0
ENSMUSG00000000711	30	20	8
ENSMUSG00000000738	17	15	30
ENSMUSG00000000740	57	42	59
ENSMUSG00000000743	17	8	16
ENSMUSG00000000751	14	7	46
ENSMUSG00000000753	9	348	4
ENSMUSG00000000759	6	2	2
ENSMUSG00000000787	35	49	5
ENSMUSG00000000805	30	0	1
ENSMUSG00000000826	35	8	3
ENSMUSG00000000827	14	7	4
ENSMUSG00000000876	2	14	0
ENSMUSG00000000881	46	6	3
ENSMUSG00000000915	8	6	4
ENSMUSG00000000958	0.8	0.8	2
ENSMUSG00000000959	10	8	4
ENSMUSG00000000976	3	2	1
ENSMUSG00000001016	8	1	6
