Gene ID	A498	A549	ACHN	BT549	Caki1	DU145	EKVX	HCT116	HCT15	HL60	HOP62	HOP92	HS578T	HT29	IGROV1	K562	KM12	LOXIMVI	MCF7	MDAMB231	MDAMB435	Malme3M	NCIH226	NCIH23	NCIH322T	NCIH460	NCIH522	OVCAR3	OVCAR4	OVCAR8	PC3	RPMI8226	SF268	SF295	SF539	SKMEL28	SKMEL5	SKOV3	SNB75	SW620	T47D	U251MG	UACC257	UACC62	UO31	X786O
ENSG00000000003	0.109465243	0.309891421	1.426615253	2.168794059	1.467413908	0.15940458	0	0	0.226510564	0	0	1.598727611	0	3.02445109	0.34712298	0	0.982734808	0	0.605068573	0.197304969	0.321930368	0.546434441	0.705393133	0.301865456	2.335555773	1.318933558	4.942879634	3.139712863	2.892468557	0.494934499	3.097576547	0.037454503	0.191508439	2.190865462	2.628280547	2.419159574	3.294658573	5.348190859	0.144913254	0.434070933	0	1.148604748	11.9580188	0.850306388	0.88642323	0.597711438
ENSG00000000419	46.01040414	49.93576979	21.94967622	66.63156023	49.95962474	39.51071027	57.94702037	1.830811761	37.9311558	17.81964847	85.65777876	30.80722021	52.7239008	38.9107694	81.76407108	23.96307868	35.39093792	34.85832597	74.55586287	81.67244132	70.24658857	29.12154465	37.80630745	23.29291062	24.5837533	57.17964896	20.29253742	176.9745316	35.68143326	30.27973597	30.99471567	81.57858212	20.11106144	65.82584254	23.54238436	46.32676092	24.6827402	57.76041669	21.49554038	51.41277026	86.4309467	47.15789417	33.87135524	58.80869688	20.4160481	6.057819918
ENSG00000000457	0.16586994	0.116599434	0.092298596	0	0.100547504	0.61131099	1.513786149	0.296514813	0.464168301	0	0.707845512	0.085164405	0.261512688	0.418687833	1.759023964	0	0	0.047932846	1.073472799	0	0.164086393	0.072456627	0.067328927	0.133320194	0	0.338205241	0.250811402	0	0.24813608	0.068666588	0.10478343	0.264633897	0	0.067997758	0.069112475	1.755010982	0.593475512	0.226064677	0.131313703	0.103891656	0.560256936	0.092967426	0	0.121950077	0.029205594	0.672620444
ENSG00000000460	0	0	0	0	0	0	0.172558244	0	0	0	0.033664464	0	0	0.027422047	0.704724303	0	0	0	0.454804675	0	0.094528031	0.195967309	0.074240175	0	0	0.27578107	0	0	0.085610292	0	0	0	0	0.30788493	0	0.729248085	0.111917621	0.879289039	0	0	0	0.116599434	0	0	0.344224715	0
ENSG00000001036	2.43498856	0.418910777	6.242862997	2.764276062	9.383021747	1.728257766	6.956727982	0.774951496	14.47995532	3.351509158	1.098442468	16.23429747	4.432339092	2.115287626	1.857342034	0.294062435	2.68892117	1.979515054	5.707798673	2.291412966	4.171941121	16.46415218	5.925614442	1.572866168	20.0903277	2.532637799	0.054844093	2.33667049	3.17872797	4.518172327	0.504966956	0.254824384	1.863138564	4.083655507	10.52516113	13.321764	5.434469981	7.345987278	2.04416866	3.468108592	3.71802822	4.884022558	9.709410984	2.377692089	6.256908436	9.590136229
ENSG00000001084	6.978353499	67.00209228	3.52518212	1.835716517	2.922565925	31.9221605	7.8179586	57.07531141	3.461643231	4.850358095	1.788675446	3.292429139	1.985757471	6.058711692	3.85045664	1.710199345	7.321240553	0.520795942	7.928984447	4.064259426	1.530283966	0.92633011	5.267039437	5.17407201	9.414010889	25.30274598	5.248089242	1.498180106	2.128441291	7.511411331	8.339200429	9.956432347	5.949246449	4.164583986	2.225644643	1.650896382	7.599028114	11.86393666	1.131438101	8.48968727	3.104041908	4.690507628	4.272934512	1.582452737	1.472764551	7.314552249
ENSG00000001167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.777429727	0	0	0	5.386314192	0	1.968367881	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001497	0.035448011	0.125294229	0.127746607	0.14335265	0.456142336	0.053506432	0	1.935149304	0.389705182	0	0	0.868364809	0.271545144	0.440536293	0	1.535634609	1.029107049	0	0.141346159	0.063984775	0.944165588	0.292055943	0.293839491	0.141123215	0	1.524487436	0.231861207	1.023310519	0.331962824	0.041913372	1.023310519	1.481013459	1.139018179	0.310783195	0.775397382	0	0.340434676	0.438306859	0.092744483	0.080928479	0.300081908	2.174813532	3.887911142	1.201665294	0.069112475	0
ENSG00000001561	0.311006138	1.871387472	4.237263557	1.246922818	0.488246195	1.39941615	4.555849773	6.052023388	2.262876202	0.384800426	2.806189434	0.02697616	0	0.3856922	12.1970142	0	0.700711321	3.869629778	0.08806267	0.102999882	2.836509746	0.353365397	0.996557303	1.034457693	4.71570024	0.157175145	1.256509387	1.33253311	0	1.009265081	0	0.426267911	0.867250091	0	3.475465726	0	1.21749428	0	1.256509387	0	2.405782966	0.668830405	1.598504667	0.045926354	1.349699757	0
ENSG00000001630	6.216109781	6.489438473	33.63280573	6.709260733	7.605047588	22.26647889	54.1609944	2.527287156	66.9775685	21.49130445	22.6927468	52.41891413	47.7611792	21.03516211	13.61649527	15.24086137	3.363325162	23.70156599	45.72035469	10.56997277	13.13716681	83.29881392	19.35751252	34.3778828	18.17635802	40.63991893	22.30972992	17.20454744	90.92905412	25.07043889	30.84534355	2.036365639	9.169441904	12.97976872	22.17373441	59.26862925	36.20022271	8.022620704	29.93662597	11.28361481	5.995618691	6.962301569	60.39048078	19.04940464	16.5626932	52.34043803
