Gene_ID	adrenal.gland	colon	esophagus	gall.bladder	heart	kidney	liver	lung	ovary	pancreas	rectum	testis	urinary.bladder
ENSG00000000003	0	1.148301167	0	0	0	0	0	0	0.781087992	2.642270612	0	0.75825715	0
ENSG00000000419	9.741705381	0.96119613	2.388521294	1.561363201	0	2.599565121	4.009582928	8.468604088	7.919069661	3.44810009	1.866343323	5.916998415	1.470776871
ENSG00000000457	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000938	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000971	23.86900239	29.60828859	17.42814949	82.32459145	6.375912719	9.021637471	12.21230654	22.75813754	24.60589653	17.00974072	22.08633401	24.36635174	43.18430838
ENSG00000001036	7.730216631	0	0	0	0	0.978346771	2.371644483	0	1.076320948	0	1.615032982	1.396868969	0
ENSG00000001084	5.705846512	3.408534616	2.633691549	2.635650006	4.911690407	2.025839332	11.33796656	0.764929886	2.883141389	6.706771434	5.02164404	5.133340062	5.413842908
ENSG00000001167	0	0	0	0	0	0	0	0	0	0	0	1.229621036	0
ENSG00000001497	0	0	0	0	0	0	0	0	2.244361336	1.500973762	0	1.908688431	0
ENSG00000001561	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001626	0	0	0	0	0	0	0	0	0	3.809237087	0	0	0
ENSG00000001629	0	0	0	0	0	0	0	0	0	0	0	2.098840025	0
ENSG00000001630	37.34564886	0	0	0	0	0.683594062	8.065369056	5.28061959	8.012039505	3.610507991	0.543133501	5.543487326	0
ENSG00000001631	0	0	0	0	0	0	0	0	0	0.70599419	0	1.160342431	0
ENSG00000002549	25.1273552	15.21706485	5.619147471	24.25741896	8.648643805	21.83549192	51.82648015	34.5225359	25.30953701	32.25419652	12.26700181	17.64305462	8.941218258
ENSG00000002586	0	1.01098361	0	0	0	0	0	0	9.617674863	42.88365485	0	19.69651509	7.117318356
ENSG00000002726	0	3.993448031	0	0	0	6.830747755	0	0	0	0	3.621216292	0	0
ENSG00000002746	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002822	0	0	0	0	0	0	0	0	1.476059072	4.876309799	0	1.693717452	0
ENSG00000002834	12.17343691	14.19177165	4.942725255	32.98397677	2.583554634	3.700337253	11.7480416	18.65269842	9.970036955	31.94246005	18.19119027	13.8446226	15.23691916
ENSG00000003056	11.58218324	3.093752911	0	2.366409835	0	0	6.115527102	0	5.279818468	0	3.38501414	6.668387379	1.631912962
ENSG00000003147	0	0	0	0	0	0	0	0	0	1.739046038	0	0	0
ENSG00000003393	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003400	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003436	0	0	0	0.584106372	0	0	0	0	0	0.506078017	0	0	0
ENSG00000003509	1.666343684	0	0	0	1.175083701	0	0.744206788	0	0	0	0	0.653656562	0
ENSG00000003756	0	0	0	0	0	0	0	0	2.992397511	0.932431904	0	2.783943965	0
ENSG00000003987	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000003989	0	0	0	0	0	0	4.04595575	0	0.504359445	0	0	1.555708052	0
ENSG00000004059	11.87475933	16.17461488	12.92100193	2.912944029	0	4.447705994	5.583919883	9.491057094	7.151394719	7.355193106	23.6345376	31.28661621	12.19481168
ENSG00000004139	2.556835176	0	0	0.913196886	0	0	0	0	0.366559839	0.423481212	1.109624833	0.899058387	1.03723213
ENSG00000004142	6.56090647	0	0	0	4.495268883	5.737403817	6.189766172	0	3.14587001	2.392397266	0.902159711	2.830700454	0
ENSG00000004399	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004455	44.00576615	19.76987259	5.12066442	6.926431947	35.43825793	40.36065406	49.5513196	14.05876096	15.69385077	29.55055972	18.64630939	21.75694099	8.76159105
ENSG00000004468	2.585514442	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004478	11.27638823	6.215800851	10.25989329	4.87495183	3.279267081	3.249379491	17.44789532	2.854532565	24.70870968	16.05731415	6.821574473	15.69956159	8.374287776
