Gene ID	adrenal.gland	colon	esophagus	gall.bladder	heart	kidney	liver	lung	ovary	pancreas	rectum	testis	urinary.bladder
ENSG00000000003	10	24	19	15	2	18	23	7	30	5	24	20	26
ENSG00000000419	44	32	29	30	26	22	17	23	27	11	30	38	35
ENSG00000000457	3	4	3	4	1	3	2	3	4	1	5	4	4
ENSG00000000938	3	2	4	10	0.9	1	2	22	0.9	1	2	1	9
ENSG00000000971	20	21	25	58	19	8	253	18	49	2	33	6	48
ENSG00000001036	22	23	7	19	10	24	11	17	18	6	33	9	20
ENSG00000001084	7	8	12	10	3	9	28	3	3	2	10	5	15
ENSG00000001167	7	10	8	12	4	7	5	10	17	3	12	35	12
ENSG00000001497	8	6	6	6	3	6	3	7	16	2	7	18	6
ENSG00000001561	15	13	5	8	9	17	4	20	2	4	13	9	8
ENSG00000001626	0	29	0	32	0	0.5	0.5	5	0	36	29	0.6	0.8
ENSG00000001629	11	11	11	13	6	21	4	10	11	3	11	21	15
ENSG00000001630	2	0.9	0.8	0.6	0	0.8	0.8	2	0.7	0.6	0.5	5	0.5
ENSG00000001631	2	2	1	2	1	2	0.8	2	3	0.6	2	3	2
ENSG00000002549	25	28	20	39	19	42	41	48	12	4	28	27	35
ENSG00000002586	15	29	34	51	23	8	17	29	45	12	28	38	33
ENSG00000002726	0	95	0	0.6	0	107	0	0	0	0	51	2	0.6
ENSG00000002746	0	0	0	0.5	0	4	0	0	0	0	0	0.6	0
ENSG00000002822	2	2	1	1	1	2	1	3	2	0.5	1	5	2
ENSG00000002834	12	39	15	30	8	21	15	33	23	6	47	8	29
ENSG00000003056	21	25	18	25	17	23	11	27	19	6	25	24	32
ENSG00000003147	4	7	4	6	9	4	0.7	5	0.5	5	10	15	7
ENSG00000003393	3	3	2	4	7	5	5	4	4	0.9	3	4	4
ENSG00000003400	1	8	4	5	1	2	2	7	0.6	0.6	8	0.5	6
ENSG00000003436	3	4	5	12	3	9	32	20	5	0.6	5	1	10
ENSG00000003509	8	4	3	6	6	5	2	5	4	0.8	5	24	5
ENSG00000003756	12	9	9	16	7	6	3	14	29	4	16	18	13
ENSG00000003987	1	0	0	0	0	0.5	0	0	1	0	0.5	1	0
ENSG00000003989	9	5	10	13	6	6	113	6	44	23	4	19	7
ENSG00000004059	25	29	55	33	24	24	12	34	27	21	23	29	40
ENSG00000004139	1	0.7	0	0.7	0	0.7	0	1	0.7	0.5	1	0.5	0.7
ENSG00000004142	77	37	44	31	59	63	43	30	35	21	52	59	39
ENSG00000004399	9	6	7	18	10	7	3	33	4	2	5	8	16
ENSG00000004455	15	24	14	13	9	32	16	17	16	4	28	12	16
ENSG00000004468	0.8	3	0.8	2	0.6	0.5	1	5	0	0	3	0.5	5
ENSG00000004478	17	20	24	13	8	23	11	11	19	7	21	36	16
ENSG00000004487	14	14	12	13	8	10	4	12	21	4	19	53	16
ENSG00000004534	25	13	13	19	10	12	6	20	32	6	25	26	20
ENSG00000004660	4	1	1	2	2	0.7	0	2	3	1	1	4	3
ENSG00000004700	10	7	9	12	8	6	3	11	7	1	10	6	17
ENSG00000004766	4	4	3	3	2	4	1	3	4	0.8	5	4	4
ENSG00000004776	35	6	22	27	100	2	1	7	35	2	4	8	33
ENSG00000004777	3	1	1	2	1	1	0	3	5	0.9	1	14	1
ENSG00000004779	23	31	10	10	52	31	17	11	9	5	24	15	12
ENSG00000004799	212	47	142	81	18	37	48	27	269	136	19	10	30
ENSG00000004838	0	0	0	0	0	0	0	2	0	0	0	72	0
ENSG00000004848	0	0	0	0	0	0	0	0	28	0	0	3	0
ENSG00000004864	12	13	7	10	3	22	42	6	7	2	14	7	9
ENSG00000004897	12	10	12	14	9	9	7	12	11	3	11	16	14
ENSG00000004939	0	0	0	0	0	32	0	0	0	0	0	0	0
ENSG00000004961	11	15	10	9	19	12	8	8	5	2	15	9	12
ENSG00000004975	6	4	7	6	4	4	0.8	7	15	2	4	9	6
ENSG00000005007	12	12	9	12	7	13	5	12	14	8	6	24	11
ENSG00000005020	17	19	10	11	2	16	4	20	13	1	15	11	23
